"","uID","uLoc","rep","year","height","X","Y","year_num","gapID_num","height_mod"
"535","5134:402","5134:402",0,2002,7,94.83,-184.51,1,NA,-17.8248351234219
"536","5134:403","5134:403",1,2004,33,94.94,-184.41,3,NA,8.1751648765781
"537","5134:403","5134:403",1,2003,27,94.94,-184.41,2,NA,2.1751648765781
"538","5134:403","5134:403",0,2002,8,94.94,-184.41,1,NA,-16.8248351234219
"539","5134:404","5134:404",1,2004,37,94.19,-185.08,3,NA,12.1751648765781
"540","5134:404","5134:404",1,2003,18,94.19,-185.08,2,NA,-6.8248351234219
"541","5134:404","5134:404",0,2002,5,94.19,-185.08,1,NA,-19.8248351234219
"542","5134:405","5134:405",1,2004,42,94.49,-183.77,3,NA,17.1751648765781
"543","5134:405","5134:405",1,2003,32,94.49,-183.77,2,NA,7.1751648765781
"544","5134:405","5134:405",1,2002,23,94.49,-183.77,1,NA,-1.8248351234219
"546","5197:501","5197:501",1,2005,47.4,38.64,-51.94,4,NA,22.5751648765781
"547","5197:501","5197:501",1,2004,32,38.64,-51.94,3,NA,7.1751648765781
"548","5197:501","5197:501",1,2003,26,38.64,-51.94,2,NA,1.1751648765781
"549","5197:501","5197:501",0,2002,4,38.64,-51.94,1,NA,-20.8248351234219
"551","5197:502","5197:502",1,2005,51.8,38.78,-52.7,4,NA,26.9751648765781
"552","5197:502","5197:502",1,2004,39,38.78,-52.7,3,NA,14.1751648765781
"553","5197:502","5197:502",1,2003,31,38.78,-52.7,2,NA,6.1751648765781
"554","5197:502","5197:502",0,2002,3,38.78,-52.7,1,NA,-21.8248351234219
"556","5197:503","5197:503",0,2002,2,39.11,-52.66,1,NA,-22.8248351234219
"558","5197:504","5197:504",0,2003,20,39.26,-52.72,2,NA,-4.8248351234219
"559","5197:504","5197:504",0,2002,3,39.26,-52.72,1,NA,-21.8248351234219
"562","5197:506","5197:506",0,2003,16,39.49,-53.36,2,NA,-8.8248351234219
"563","5197:506","5197:506",0,2002,3,39.49,-53.36,1,NA,-21.8248351234219
"565","5197:507","5197:507",1,2004,35,39.21,-53.35,3,NA,10.1751648765781
"566","5197:507","5197:507",0,2003,23,39.21,-53.35,2,NA,-1.8248351234219
"567","5197:507","5197:507",0,2002,4,39.21,-53.35,1,NA,-20.8248351234219
"569","5197:508","5197:508",0,2004,23,39.3,-53.45,3,NA,-1.8248351234219
"570","5197:508","5197:508",1,2003,18,39.3,-53.45,2,NA,-6.8248351234219
"571","5197:508","5197:508",0,2002,3,39.3,-53.45,1,NA,-21.8248351234219
"573","5197:509","5197:509",0,2003,8,38.67,-53.24,2,NA,-16.8248351234219
"574","5197:509","5197:509",0,2002,1,38.67,-53.24,1,NA,-23.8248351234219
"577","5197:511","5197:511",1,2004,33,38.54,-53.43,3,NA,8.1751648765781
"578","5197:511","5197:511",0,2003,16,38.54,-53.43,2,NA,-8.8248351234219
"579","5197:511","5197:511",0,2002,2,38.54,-53.43,1,NA,-22.8248351234219
"581","5197:512","5197:512",0,2003,9,38.51,-53.55,2,NA,-15.8248351234219
"582","5197:512","5197:512",0,2002,1,38.51,-53.55,1,NA,-23.8248351234219
"583","5197:513","5197:513",0,2002,2,38.43,-53.57,1,NA,-22.8248351234219
"585","5197:514","5197:514",1,2005,40.1,38.29,-53.17,4,NA,15.2751648765781
"586","5197:514","5197:514",1,2004,37,38.29,-53.17,3,NA,12.1751648765781
"587","5197:514","5197:514",0,2003,14,38.29,-53.17,2,NA,-10.8248351234219
"588","5197:514","5197:514",0,2002,1,38.29,-53.17,1,NA,-23.8248351234219
"590","5197:515","5197:515",1,2004,39,38.29,-53.17,3,NA,14.1751648765781
"591","5197:515","5197:515",1,2003,31,38.29,-53.17,2,NA,6.1751648765781
"592","5197:515","5197:515",0,2002,3,38.29,-53.17,1,NA,-21.8248351234219
"594","5197:516","5197:516",1,2005,32.5,38.22,-52.99,4,NA,7.6751648765781
"595","5197:516","5197:516",1,2004,23,38.22,-52.99,3,NA,-1.8248351234219
"596","5197:516","5197:516",1,2003,16,38.22,-52.99,2,NA,-8.8248351234219
"597","5197:516","5197:516",0,2002,2,38.22,-52.99,1,NA,-22.8248351234219
"599","5197:517","5197:517",1,2005,25.5,38.09,-53,4,NA,0.675164876578105
"600","5197:517","5197:517",1,2004,26,38.09,-53,3,NA,1.1751648765781
"601","5197:517","5197:517",0,2003,7,38.09,-53,2,NA,-17.8248351234219
"602","5197:517","5197:517",0,2002,2,38.09,-53,1,NA,-22.8248351234219
"604","5197:518","5197:518",1,2005,36.2,38.2,-53.08,4,NA,11.3751648765781
"605","5197:518","5197:518",1,2004,23,38.2,-53.08,3,NA,-1.8248351234219
"606","5197:518","5197:518",0,2003,5,38.2,-53.08,2,NA,-19.8248351234219
"607","5197:518","5197:518",0,2002,2,38.2,-53.08,1,NA,-22.8248351234219
"609","5197:519.191","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"611","5197:519.192","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"613","5197:519.193","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"615","5197:519.194","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"617","5197:519.195","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"619","5197:519.196","5197:519",1,2005,25.3,38,-52.87,4,NA,0.475164876578106
"620","5197:519.196","5197:519",0,2004,11,38,-52.87,3,NA,-13.8248351234219
"621","5197:519.196","5197:519",0,2003,4,38,-52.87,2,NA,-20.8248351234219
"622","5197:519.196","5197:519",0,2002,3,38,-52.87,1,NA,-21.8248351234219
"624","5197:519.197","5197:519",0,2003,4,38,-52.87,2,NA,-20.8248351234219
"625","5197:519.197","5197:519",0,2002,1,38,-52.87,1,NA,-23.8248351234219
"627","5197:520.198","5197:520",0,2005,3,38.12,-53.09,4,NA,-21.8248351234219
"628","5197:520.198","5197:520",1,2004,22,38.12,-53.09,3,NA,-2.8248351234219
"629","5197:520.198","5197:520",0,2003,11,38.12,-53.09,2,NA,-13.8248351234219
"630","5197:520.198","5197:520",0,2002,2,38.12,-53.09,1,NA,-22.8248351234219
"632","5197:520.199","5197:520",0,2003,15,38.12,-53.09,2,NA,-9.8248351234219
"633","5197:520.199","5197:520",0,2002,2,38.12,-53.09,1,NA,-22.8248351234219
"635","5197:521","5197:521",1,2003,15,38.47,-52.73,2,NA,-9.8248351234219
"636","5197:521","5197:521",0,2002,3,38.47,-52.73,1,NA,-21.8248351234219
"637","5197:522","5197:522",1,2007,46.7,37.65,-53.27,6,NA,21.8751648765781
"638","5197:522","5197:522",1,2006,21.1,37.65,-53.27,5,NA,-3.72483512342189
"639","5197:522","5197:522",1,2005,55.4,37.65,-53.27,4,NA,30.5751648765781
"640","5197:522","5197:522",1,2004,39,37.65,-53.27,3,NA,14.1751648765781
"641","5197:522","5197:522",1,2003,26,37.65,-53.27,2,NA,1.1751648765781
"642","5197:522","5197:522",0,2002,4,37.65,-53.27,1,NA,-20.8248351234219
"644","5197:523","5197:523",1,2005,71.2,37.98,-53.24,4,NA,46.3751648765781
"645","5197:523","5197:523",1,2004,35,37.98,-53.24,3,NA,10.1751648765781
"646","5197:523","5197:523",0,2003,16,37.98,-53.24,2,NA,-8.8248351234219
"647","5197:523","5197:523",0,2002,2,37.98,-53.24,1,NA,-22.8248351234219
"649","5197:524","5197:524",1,2005,37.4,37.21,-53.7,4,NA,12.5751648765781
"650","5197:524","5197:524",0,2004,22,37.21,-53.7,3,NA,-2.8248351234219
"651","5197:524","5197:524",1,2003,22,37.21,-53.7,2,NA,-2.8248351234219
"652","5197:524","5197:524",0,2002,3,37.21,-53.7,1,NA,-21.8248351234219
"654","5197:525","5197:525",1,2004,33,36.87,-53.56,3,NA,8.1751648765781
"655","5197:525","5197:525",1,2003,32,36.87,-53.56,2,NA,7.1751648765781
"656","5197:525","5197:525",0,2002,5,36.87,-53.56,1,NA,-19.8248351234219
"658","5197:526","5197:526",1,2005,48.4,36.46,-53.59,4,NA,23.5751648765781
"659","5197:526","5197:526",1,2004,41,36.46,-53.59,3,NA,16.1751648765781
"660","5197:526","5197:526",1,2003,29,36.46,-53.59,2,NA,4.1751648765781
"661","5197:526","5197:526",0,2002,3,36.46,-53.59,1,NA,-21.8248351234219
"663","5197:527","5197:527",1,2005,38,36.75,-53.03,4,NA,13.1751648765781
"664","5197:527","5197:527",1,2004,34,36.75,-53.03,3,NA,9.1751648765781
"665","5197:527","5197:527",1,2003,35,36.75,-53.03,2,NA,10.1751648765781
"666","5197:527","5197:527",0,2002,1,36.75,-53.03,1,NA,-23.8248351234219
"667","5197:528","5197:528",1,2007,23.5,36.4,-52.78,6,NA,-1.3248351234219
"668","5197:528","5197:528",1,2006,24.7,36.4,-52.78,5,NA,-0.124835123421896
"669","5197:528","5197:528",1,2005,32.2,36.4,-52.78,4,NA,7.37516487657811
"670","5197:528","5197:528",1,2004,34,36.4,-52.78,3,NA,9.1751648765781
"671","5197:528","5197:528",1,2003,29,36.4,-52.78,2,NA,4.1751648765781
"672","5197:528","5197:528",0,2002,5,36.4,-52.78,1,NA,-19.8248351234219
"674","5197:529","5197:529",1,2004,45,36.99,-52.41,3,NA,20.1751648765781
"675","5197:529","5197:529",1,2003,47,36.99,-52.41,2,NA,22.1751648765781
"676","5197:529","5197:529",0,2002,11,36.99,-52.41,1,NA,-13.8248351234219
"678","5197:530","5197:530",1,2004,42,36.99,-51.72,3,NA,17.1751648765781
"679","5197:530","5197:530",1,2003,20,36.99,-51.72,2,NA,-4.8248351234219
"680","5197:530","5197:530",0,2002,2,36.99,-51.72,1,NA,-22.8248351234219
"682","5197:531","5197:531",1,2005,20.7,38.1,-51.2,4,NA,-4.1248351234219
"683","5197:531","5197:531",1,2004,35,38.1,-51.2,3,NA,10.1751648765781
"684","5197:531","5197:531",1,2003,20,38.1,-51.2,2,NA,-4.8248351234219
"685","5197:531","5197:531",0,2002,3,38.1,-51.2,1,NA,-21.8248351234219
"687","5197:532","5197:532",0,2003,17,39.03,-52.27,2,NA,-7.8248351234219
"688","5197:532","5197:532",0,2002,2,39.03,-52.27,1,NA,-22.8248351234219
"690","5197:533","5197:533",1,2004,30,39.02,-52.16,3,NA,5.1751648765781
"691","5197:533","5197:533",1,2003,31,39.02,-52.16,2,NA,6.1751648765781
"692","5197:533","5197:533",0,2002,5,39.02,-52.16,1,NA,-19.8248351234219
"694","5197:534","5197:534",1,2003,17,38.92,-52.17,2,NA,-7.8248351234219
"695","5197:534","5197:534",0,2002,2,38.92,-52.17,1,NA,-22.8248351234219
"697","5197:535","5197:535",1,2005,47.2,38.98,-52.22,4,NA,22.3751648765781
"698","5197:535","5197:535",0,2004,24,38.98,-52.22,3,NA,-0.824835123421895
"699","5197:535","5197:535",0,2003,8,38.98,-52.22,2,NA,-16.8248351234219
"700","5197:535","5197:535",0,2002,2,38.98,-52.22,1,NA,-22.8248351234219
"702","5197:536","5197:536",0,2004,25,39.31,-51.93,3,NA,0.175164876578105
"703","5197:536","5197:536",1,2003,38,39.31,-51.93,2,NA,13.1751648765781
"704","5197:536","5197:536",0,2002,7,39.31,-51.93,1,NA,-17.8248351234219
"706","5197:537","5197:537",1,2003,27,39.18,-53.56,2,NA,2.1751648765781
"707","5197:537","5197:537",0,2002,2,39.18,-53.56,1,NA,-22.8248351234219
"709","5197:538","5197:538",1,2004,30,39.2,-53.8,3,NA,5.1751648765781
