"","uID","uLoc","rep","year","height","X","Y","year_num","gapID_num","height_mod"
"122","5161:38","5161:38",0,2002,6,108.15,-135.06,1,NA,-18.8248351234219
"123","5161:39","5161:39",1,2004,42,107.29,-134.24,3,NA,17.1751648765781
"124","5161:39","5161:39",1,2003,50,107.29,-134.24,2,NA,25.1751648765781
"125","5161:39","5161:39",0,2002,6,107.29,-134.24,1,NA,-18.8248351234219
"126","5161:40","5161:40",1,2004,27,104.81,-134.98,3,NA,2.1751648765781
"127","5161:40","5161:40",1,2003,25,104.81,-134.98,2,NA,0.175164876578105
"128","5161:40","5161:40",0,2002,7,104.81,-134.98,1,NA,-17.8248351234219
"129","5161:41","5161:41",0,2004,18,105.22,-134.76,3,NA,-6.8248351234219
"130","5161:41","5161:41",1,2003,23,105.22,-134.76,2,NA,-1.8248351234219
"131","5161:41","5161:41",0,2002,4,105.22,-134.76,1,NA,-20.8248351234219
"132","5161:42","5161:42",0,2004,21,103.68,-136.45,3,NA,-3.8248351234219
"133","5161:42","5161:42",1,2003,45,103.68,-136.45,2,NA,20.1751648765781
"134","5161:42","5161:42",0,2002,7,103.68,-136.45,1,NA,-17.8248351234219
"135","5161:43","5161:43",1,2004,52,103.81,-136.52,3,NA,27.1751648765781
