"","uni_spp","uX","uY","R0_mean","R0_med","R0_lq95","R0_uq95","life_expect","life_expect_lq95","life_expect_uq95","mean_repA","mean_rep_lq95","mean_rep_uq95","sen_rep","sen_sur","sen_gr","sen_life_ex","sen_mean_rep","elas_rep","elas_sur","elas_gr","elas_rep_fl","elas_sur_le"
"1","uspp_1",78.5466666666667,-155.493333333333,296.888027704522,185.028742179566,32.6438004911151,1198.47345514495,6.67534776625914,2.03866720538319,19.9047384624139,21.3348427664546,13.6145932563226,30.8700226209414,6.36199977113494,321.944859534046,41.9349452354599,5.45603483130644,1.66337405000314,0.0575240397981223,1.90956609617622,3.12172228757239,0.366972764282899,1.52741789898047
"2","uspp_2",76.836,-155.654666666667,305.168223647569,234.002110451513,76.2783078250909,959.090595053182,6.79416283029781,2.84472465672284,16.3984194866732,22.4614362535,17.09309338889,28.6323644181909,5.30869366072096,334.518910559804,41.3706012779699,5.61889152661128,1.4524418788503,0.039211079148481,1.90473132899418,3.0304926883816,0.318512256422467,1.42466109115754
"3","uspp_3",76.3818181818182,-156.271818181818,531.497774738947,386.470470522405,103.851356114498,1814.62114111633,9.09737390317984,3.16444585311346,25.8875369474674,25.6048904606262,19.3424936182431,32.1656761045363,5.53116442350759,575.243808308308,70.4538339807346,7.89390218270649,1.35012385247634,0.0248572906339833,1.8989937480324,2.9536254201049,0.246172708119365,1.36238812752545
"4","uspp_4",76.315,-155.785,345.442767160933,269.537884335154,74.9789117921548,1045.14535368642,6.51012918078304,2.62048158898112,15.8098351153032,25.7868572563432,19.7434747301196,32.6292397922494,4.17876487179186,384.88803214042,44.326709510387,5.367554761104,1.33646373787464,0.0283399682531719,1.94009182422923,2.86651794302403,0.287573781926218,1.46970222754704
"5","uspp_5",75.7857142857143,-156.348571428571,583.737034207481,416.328283274459,93.416017446279,2335.62226888971,9.25904922580299,2.95135686205519,28.6814955310891,26.5973809951214,19.0022273932195,34.7953089774789,5.53251202320138,633.321590291522,76.4267159382561,8.062451926454,1.38280596320434,0.0237118648228113,1.90683257105299,2.92845449757023,0.234989020536044,1.37349391669413
"6","uspp_6",76.3883333333333,-155.263333333333,194.270162455041,152.013193096287,46.2816547565895,595.133846118012,4.57692347028807,2.14410667778286,10.1591011118225,24.0143000674755,17.8381717216523,30.7799493893127,3.75181717588661,222.119237201434,24.6353166054451,3.47428982897806,1.5303719132631,0.0442760383908116,1.9767627665457,2.83944282183311,0.367717752672255,1.64363716216984
"7","uspp_7",75.515,-154.36,231.178111431158,160.758070694167,29.8842624428213,866.121881731732,4.29975581320135,1.69811372560066,11.1346363469848,27.9658863710519,18.603280698144,38.9964100535484,3.66801923693158,269.313167405108,28.5705083184335,3.20387329773895,1.76044885910301,0.0420388266118468,2.03210227358022,2.74170624272955,0.344024538796913,1.81713394905272
"8","uspp_8",77.3733333333333,-154.01,61.4993719473842,46.5167347865482,12.6716105970477,210.673412016002,2.38819666296503,1.40001968455291,4.60240418348273,23.1294292940978,15.5153003754156,33.2206073021061,2.31258232286696,72.7093517443778,7.33435988564734,1.34406858320666,1.77947117570639,0.0883651690942833,1.98257345431042,2.62512686143116,0.605378734068028,2.35255765074509
"9","uspp_9",103.895,-138.125,2526.29440126394,1345.58511567802,190.306223844391,15216.7325477855,17.6772507855288,2.98625640440865,82.9811746425613,40.4348643317414,26.9684573095804,56.0601625692233,6.48453049308422,2661.38794904078,302.699616108308,16.356926845478,1.58421164201195,0.00855571555393298,1.91225494225402,2.75367932882918,0.103724782815711,1.32642384985967
"10","uspp_10",104.1525,-138.7825,2557.55556002143,1362.1074928697,189.129923970773,11042.3976092304,16.7068013445053,2.96798242495956,62.4594023438655,43.679957088803,30.8005348837578,59.2299553276496,4.83188709411303,2688.833737277,307.379033743498,15.247671248203,1.3715562138914,0.0063118326732925,1.92604625260339,2.70443267237536,0.100072010315197,1.35446507004516
"11","uspp_11",104.67,-139.8,3129.15597950085,1457.2382877217,145.316410319738,15546.4057618686,17.7066904012101,2.61911785825455,68.8962641529378,46.2771876812495,30.1083645554017,67.748574341547,4.4419476126279,3155.65057946601,282.275061353967,15.8290466000188,1.34329453863489,0.00633382856548847,1.92550005148233,2.63078278495287,0.106712632725554,1.38009471711483
"12","uspp_12",102.115,-140.27,2828.78216754946,1390.57531192653,159.94283405325,14152.0691340648,17.3390710267685,2.71128220819892,68.9001566602866,43.9374992997882,29.5852965985284,62.0516098260783,3.82343862926824,2934.860028774,312.657212458024,15.8713380561797,1.12129577971209,0.00600816424620921,1.92091794610674,2.67728566374506,0.116096749200289,1.36422282443509
"13","uspp_13",103.235,-139.43,2384.82934496485,1311.16927608936,152.068410660207,11936.5705945816,15.3485279620818,2.63400947916241,67.6345431475282,43.0847595306501,30.036394895078,58.2279165521645,4.18281660103221,2519.6633652394,275.703072585559,14.0194489854012,1.29205563800882,0.00652686013837599,1.92516899587252,2.69981463774338,0.109553255752984,1.36351572565991
"14","uspp_14",108.15,-135.06,2873.6519405501,1214.78248907503,92.8805127503929,15726.7729837398,19.5581787958487,2.24360476668049,90.2298751988187,37.4760519237104,17.89644333488,62.9132817592768,16.299511711934,2978.51455311237,337.902524878724,18.0988384528492,2.44124212817497,0.0214431345202905,1.92685764870845,2.80840283487052,0.135710922072422,1.40217740445397
"15","uspp_15",107.24,-134.075,3269.04181190859,1502.10360872304,142.091063594625,17230.1633478546,20.5855477431336,2.55745796991097,98.1481867594892,40.491676797697,23.255612030587,62.9348682467053,12.4937073511035,3331.40520336371,345.497224079043,18.8956165271056,2.1993370844967,0.0136259599223656,1.91315754874669,2.74276278762201,0.110489201221141,1.35456465126964
"16","uspp_16",105.015,-134.87,2777.51010810009,1307.2534560682,119.632377125378,15793.1903027487,23.69652899382,2.77178416156038,113.974911068462,32.1049358329957,18.7267232967993,48.8234790140726,17.1413770982621,2857.09739176583,350.301250294726,22.1787843119403,2.08343551079111,0.0202536966424093,1.87376799751179,2.93401887453285,0.142499646302923,1.28582851362625
"17","uspp_17",103.773333333333,-136.43,2652.56988472866,1496.96868703218,165.402986439605,12598.9315699913,20.8274218966458,3.14803718355403,86.8319490158781,35.4528248136232,21.9782239502742,51.7606945292254,12.2847706297802,2776.23077240295,328.100839829546,19.5179619242504,2.00425704741382,0.0144430636068632,1.88480261386299,2.85190516530447,0.11647062484588,1.28026955019055
"18","uspp_18",104.765,-136.625,2950.72779142551,1652.14901043723,156.620761938521,13181.5812031473,22.3317035710851,3.01772508496573,93.3171096121665,35.8948839418009,21.4320203278832,53.890202968755,15.1449972478257,3073.01460058354,364.184656775263,20.960587916241,2.19775062636534,0.015807695640568,1.88765624804957,2.84627068393716,0.116280083028075,1.29276317108569
"19","uspp_19",106.318,-98.416,46.8121237344729,38.0482787252157,12.4374487266068,131.729342754026,1.87091622090747,1.31988395580695,2.91335073608949,29.2720637146402,19.7972991608232,40.2766516285967,1.67328463678745,57.2302489667245,5.105296853682,0.841534407934975,1.98217350982189,0.0807890000058342,2.03067884550056,2.42620989806905,0.638751055459866,2.9459571073782
"20","uspp_20",106.086,-99.074,20.8991344382306,16.792082605009,6.54064239971567,56.8872188811742,1.42053115431556,1.14677194296798,1.94399959256323,31.5666150518288,21.1391858252958,44.1525015031998,1.02797310353995,23.7273690950026,2.02269511655503,0.407878571975904,1.89716129548504,0.107977699146827,1.83265358031144,2.11941447153941,0.984644003435368,4.25340793639955
"21","uspp_21",106.35,-99.655,15.9090146792515,13.1852547845915,4.81472613833422,42.9808324882553,1.30144056336441,1.09236890711446,1.70745116006325,34.9041387025302,22.8148800523179,49.4786482151264,0.827618823371332,17.3482227870797,1.44465700556132,0.292028751357143,1.91833667295127,0.115690961931385,1.73622194741516,1.97686470688997,1.15732008382339,5.29459859474045
