"","uID","uLoc","rep","year","height","height_prev","X","Y"
"3622","5197:1235","5197:1235",1,2007,43.2,22.6,38.56,-48.31
"3623","5197:1235","5197:1235",1,2006,22.6,35.1,38.56,-48.31
"3624","5197:1235","5197:1235",1,2005,35.1,13,38.56,-48.31
"3625","5197:1235","5197:1235",0,2004,13,12,38.56,-48.31
"3628","5197:1236","5197:1236",1,2006,44.6,53.6,38.4,-48.17
"3629","5197:1236","5197:1236",1,2005,53.6,35,38.4,-48.17
"3630","5197:1236","5197:1236",1,2004,35,30,38.4,-48.17
"3633","5197:1237","5197:1237",1,2006,40.6,48.7,38.43,-48.53
"3634","5197:1237","5197:1237",1,2005,48.7,22,38.43,-48.53
"3635","5197:1237","5197:1237",1,2004,22,27,38.43,-48.53
"3638","5197:1238","5197:1238",1,2005,43.1,31,38.11,-49.4
"3639","5197:1238","5197:1238",1,2004,31,12,38.11,-49.4
"3642","5197:1239","5197:1239",1,2005,24.6,15,38.06,-49.44
"3643","5197:1239","5197:1239",0,2004,15,12,38.06,-49.44
"3646","5197:1240","5197:1240",1,2005,31.1,34,38.15,-49.62
"3647","5197:1240","5197:1240",1,2004,34,4,38.15,-49.62
"3651","5197:1242","5197:1242",1,2007,56.8,42.2,38.41,-49.44
"3652","5197:1242","5197:1242",1,2006,42.2,45.1,38.41,-49.44
"3653","5197:1242","5197:1242",1,2005,45.1,13,38.41,-49.44
"3654","5197:1242","5197:1242",0,2004,13,7,38.41,-49.44
"3657","5197:1243","5197:1243",1,2005,49.8,44,39.54,-51.33
"3658","5197:1243","5197:1243",1,2004,44,15,39.54,-51.33
"3661","5197:1244","5197:1244",1,2004,34,28,38.8,-51.64
"3664","5197:1245","5197:1245",1,2004,31,5,38.64,-51.37
"3669","5197:1247","5197:1247",1,2004,32,13,38.6,-51.24
"3672","5197:1248","5197:1248",1,2004,24,9,38.4,-50.99
"3675","5197:1249","5197:1249",1,2005,39.2,25,37.62,-51.23
"3676","5197:1249","5197:1249",1,2004,25,8,37.62,-51.23
"3678","5197:1250","5197:1250",1,2007,43,4.4,37.55,-51.48
"3681","5197:1250","5197:1250",1,2004,29,7,37.55,-51.48
