"","uID","uLoc","rep","year","height","height_prev","X","Y"
"3","5156:2","5156:2",0,2004,16,18,78.33,-155.4
"4","5156:2","5156:2",1,2003,18,3,78.33,-155.4
"6","5156:3","5156:3",1,2004,23,9,77.05,-155.61
"7","5156:3","5156:3",0,2003,9,3,77.05,-155.61
"9","5156:4","5156:4",1,2004,20,22,77.02,-155.52
"10","5156:4","5156:4",1,2003,22,3,77.02,-155.52
"12","5156:5","5156:5",1,2004,26,25,76.87,-155.47
"13","5156:5","5156:5",1,2003,25,4,76.87,-155.47
"15","5156:6","5156:6",0,2004,16,8,76.52,-156.44
"16","5156:6","5156:6",0,2003,8,2,76.52,-156.44
"18","5156:7","5156:7",1,2004,28,12,76.92,-155.38
"19","5156:7","5156:7",0,2003,12,2,76.92,-155.38
"21","5156:8","5156:8",1,2004,32,30,76.77,-156.25
"22","5156:8","5156:8",1,2003,30,4,76.77,-156.25
"24","5156:9","5156:9",1,2004,6,26,76.63,-156.27
"25","5156:9","5156:9",1,2003,26,4,76.63,-156.27
"27","5156:10","5156:10",1,2004,34,25,76.4,-156.41
"28","5156:10","5156:10",1,2003,25,5,76.4,-156.41
"30","5156:11","5156:11",1,2004,31,26,76.4,-155.87
"31","5156:11","5156:11",1,2003,26,4,76.4,-155.87
"33","5156:12","5156:12",1,2004,29,24,76.42,-155.75
"34","5156:12","5156:12",1,2003,24,4,76.42,-155.75
"36","5156:13","5156:13",1,2004,24,12,76.49,-155.75
"37","5156:13","5156:13",0,2003,12,2,76.49,-155.75
"39","5156:14","5156:14",1,2004,24,13,76.52,-155.7
"40","5156:14","5156:14",1,2003,13,5,76.52,-155.7
"42","5156:15","5156:15",1,2004,36,18,76.28,-156.45
"43","5156:15","5156:15",1,2003,18,3,76.28,-156.45
"45","5156:16","5156:16",1,2004,35,29,76.36,-156.08
"46","5156:16","5156:16",1,2003,29,6,76.36,-156.08
"48","5156:17","5156:17",1,2004,32,14,76.69,-155.95
"49","5156:17","5156:17",1,2003,14,1,76.69,-155.95
"51","5156:18","5156:18",1,2004,40,25,75.95,-156.27
"52","5156:18","5156:18",1,2003,25,4,75.95,-156.27
"54","5156:19","5156:19",1,2004,25,16,75.99,-156.24
"55","5156:19","5156:19",0,2003,16,2,75.99,-156.24
"57","5156:20","5156:20",1,2004,38,25,75.73,-156.18
"58","5156:20","5156:20",1,2003,25,2,75.73,-156.18
"60","5156:21","5156:21",1,2004,28,19,76.27,-156.01
"61","5156:21","5156:21",1,2003,19,2,76.27,-156.01
"63","5156:22","5156:22",1,2004,35,13,76.41,-155.68
"64","5156:22","5156:22",1,2003,13,2,76.41,-155.68
"68","5156:24","5156:24",1,2004,29,21,76.24,-155.43
"69","5156:24","5156:24",1,2003,21,2,76.24,-155.43
"71","5156:25","5156:25",1,2004,33,25,76.37,-155.34
"72","5156:25","5156:25",1,2003,25,2,76.37,-155.34
"74","5156:26","5156:26",1,2004,25,7,76.39,-155.1
"75","5156:26","5156:26",0,2003,7,3,76.39,-155.1
"77","5156:27","5156:27",1,2004,26,25,75.52,-154.43
"78","5156:27","5156:27",1,2003,25,4,75.52,-154.43
"88","5156:28.32","5156:28",1,2004,35,6,77.44,-154.07
"89","5156:28.32","5156:28",0,2003,6,2,77.44,-154.07
"91","5156:28.33","5156:28",0,2004,17,11,77.44,-154.07
"92","5156:28.33","5156:28",0,2003,11,2,77.44,-154.07
"94","5156:29","5156:29",1,2004,19,8,77.29,-153.87
"95","5156:29","5156:29",0,2003,8,2,77.29,-153.87
"97","5161:30","5161:30",1,2004,30,30,103.79,-138.3
"98","5161:30","5161:30",1,2003,30,5,103.79,-138.3
"100","5161:31","5161:31",1,2004,52,43,104.21,-138.69
"101","5161:31","5161:31",1,2003,43,19,104.21,-138.69
"103","5161:32","5161:32",1,2004,45,25,104.08,-138.82
"104","5161:32","5161:32",1,2003,25,4,104.08,-138.82
"106","5161:33","5161:33",1,2004,35,35,104.01,-138.88
"107","5161:33","5161:33",1,2003,35,2,104.01,-138.88
"109","5161:34","5161:34",1,2004,49,34,104.67,-139.8
"110","5161:34","5161:34",1,2003,34,5,104.67,-139.8
"112","5161:35","5161:35",1,2004,38,19,102.09,-140.11
"113","5161:35","5161:35",1,2003,19,3,102.09,-140.11
"115","5161:36","5161:36",1,2004,37,13,102.19,-140.17
"116","5161:36","5161:36",1,2003,13,2,102.19,-140.17
"118","5161:37","5161:37",1,2004,41,31,103.2,-139.43
"119","5161:37","5161:37",1,2003,31,2,103.2,-139.43
"121","5161:38","5161:38",0,2003,28,6,108.15,-135.06
"123","5161:39","5161:39",1,2004,42,50,107.29,-134.24
"124","5161:39","5161:39",1,2003,50,6,107.29,-134.24
"126","5161:40","5161:40",1,2004,27,25,104.81,-134.98
"127","5161:40","5161:40",1,2003,25,7,104.81,-134.98
"129","5161:41","5161:41",0,2004,18,23,105.22,-134.76
"130","5161:41","5161:41",1,2003,23,4,105.22,-134.76
"132","5161:42","5161:42",0,2004,21,45,103.68,-136.45
"133","5161:42","5161:42",1,2003,45,7,103.68,-136.45
"135","5161:43","5161:43",1,2004,52,43,103.81,-136.52
"136","5161:43","5161:43",1,2003,43,9,103.81,-136.52
"138","5161:44","5161:44",0,2004,41,41,104.65,-136.77
"139","5161:44","5161:44",1,2003,41,17,104.65,-136.77
"142","5176:45","5176:45",1,2003,23,4,106.52,-98.52
"145","5176:46","5176:46",1,2003,29,2,106.49,-98.57
"148","5176:47","5176:47",1,2003,21,2,106.15,-98.94
"151","5176:48","5176:48",1,2003,31,2,106.08,-99.11
"154","5176:49","5176:49",0,2003,6,1,106.01,-98.99
"157","5176:50","5176:50",1,2003,19,2,105.94,-99.11
"162","5176:51.57","5176:51",1,2003,26,3,106.29,-99.66
"165","5176:52","5176:52",0,2003,17,1,106.41,-99.65
"167","5176:53","5176:53",1,2003,38,4,105.75,-100.86
"170","5176:54","5176:54",1,2003,31,4,106.12,-101.07
"173","5176:55","5176:55",0,2003,19,1,105.91,-100.48
"176","5176:56","5176:56",1,2003,38,7,105.47,-99.4
"179","5176:57","5176:57",1,2003,30,3,105.59,-100.26
"182","5176:58","5176:58",1,2004,49,43,105.33,-99.98
"183","5176:58","5176:58",1,2003,43,7,105.33,-99.98
"186","5176:59","5176:59",1,2004,37,18,107.97,-98.49
"187","5176:59","5176:59",0,2003,18,2,107.97,-98.49
"190","5176:60","5176:60",1,2004,49,45,105.2,-100.78
"191","5176:60","5176:60",1,2003,45,4,105.2,-100.78
"193","5248:61","5248:61",1,2004,35,41,101.71,-126.53
"194","5248:61","5248:61",1,2003,41,22,101.71,-126.53
"196","5248:62","5248:62",0,2004,21,8,101.7,-126.56
"197","5248:62","5248:62",0,2003,8,16,101.7,-126.56
"199","5248:63","5248:63",1,2004,33,25,101.73,-126.53
"200","5248:63","5248:63",1,2003,25,3,101.73,-126.53
"202","5248:64","5248:64",1,2004,35,44,101.72,-126.41
"203","5248:64","5248:64",1,2003,44,12,101.72,-126.41
"205","5248:65","5248:65",1,2004,49,61,101.79,-126.61
"206","5248:65","5248:65",1,2003,61,26,101.79,-126.61
"208","5248:66","5248:66",1,2004,54,32,101.8,-126.07
"209","5248:66","5248:66",1,2003,32,17,101.8,-126.07
"211","5248:67","5248:67",1,2004,44,22,101.94,-126.04
"212","5248:67","5248:67",1,2003,22,4,101.94,-126.04
"214","5248:68","5248:68",1,2004,36,37,101.73,-125.94
"215","5248:68","5248:68",1,2003,37,12,101.73,-125.94
"217","5248:69","5248:69",1,2004,40,7,101.78,-125.73
"218","5248:69","5248:69",0,2003,7,5,101.78,-125.73
"220","5248:70","5248:70",1,2004,38,35,101.88,-125.69
"221","5248:70","5248:70",1,2003,35,5,101.88,-125.69
"223","5248:71","5248:71",1,2004,43,34,102.01,-125.46
"224","5248:71","5248:71",1,2003,34,5,102.01,-125.46
"226","5248:72","5248:72",1,2004,24,24,102.24,-125.54
"227","5248:72","5248:72",1,2003,24,2,102.24,-125.54
"229","5248:73","5248:73",1,2004,34,28,102.38,-125.65
"230","5248:73","5248:73",1,2003,28,3,102.38,-125.65
"232","5248:74","5248:74",1,2004,39,34,102.73,-125.84
"233","5248:74","5248:74",1,2003,34,5,102.73,-125.84
"235","5248:75","5248:75",1,2004,42,23,103.06,-125.92
"236","5248:75","5248:75",1,2003,23,4,103.06,-125.92
"238","5248:76","5248:76",1,2004,31,36,103.55,-125.54
"239","5248:76","5248:76",1,2003,36,15,103.55,-125.54
"241","5248:77","5248:77",1,2004,54,49,101.44,-126.26
"242","5248:77","5248:77",1,2003,49,22,101.44,-126.26
"244","5248:78","5248:78",1,2004,37,48,101.44,-126.08
"245","5248:78","5248:78",1,2003,48,11,101.44,-126.08
"247","5248:79","5248:79",1,2004,33,43,101.44,-126.03
"248","5248:79","5248:79",1,2003,43,11,101.44,-126.03
"250","5248:80","5248:80",1,2004,42,30,100.85,-126.22
"251","5248:80","5248:80",1,2003,30,4,100.85,-126.22
"253","5248:81","5248:81",1,2004,43,26,101.2,-126.37
"254","5248:81","5248:81",1,2003,26,21,101.2,-126.37
"256","5247:82","5247:82",1,2004,30,54,100.69,-125.38
"257","5247:82","5247:82",1,2003,54,26,100.69,-125.38
"259","5247:83","5247:83",1,2004,53,61,100.37,-125.25
"260","5247:83","5247:83",1,2003,61,19,100.37,-125.25
"262","5247:84","5247:84",1,2004,37,59,100.12,-125.63
"263","5247:84","5247:84",1,2003,59,25,100.12,-125.63
"265","5248:85","5248:85",1,2004,44,42,102.21,-127.29
"266","5248:85","5248:85",1,2003,42,5,102.21,-127.29
"268","5248:86","5248:86",1,2004,44,33,102.33,-127.45
"269","5248:86","5248:86",1,2003,33,5,102.33,-127.45
"271","5248:87","5248:87",1,2004,51,58,102.15,-127.54
"272","5248:87","5248:87",1,2003,58,9,102.15,-127.54
"274","5248:88","5248:88",1,2004,48,48,101.98,-127.61
"275","5248:88","5248:88",1,2003,48,5,101.98,-127.61
"277","5248:89","5248:89",1,2004,45,22,102.1,-125.97
"278","5248:89","5248:89",1,2003,22,6,102.1,-125.97
"280","5248:90","5248:90",1,2004,34,20,102.19,-126.1
"281","5248:90","5248:90",0,2003,20,2,102.19,-126.1
"284","5203:166","5203:166",0,2004,22,14,23.89,36.49
"285","5203:166","5203:166",0,2003,14,4,23.89,36.49
"288","5199:167","5199:167",1,2005,33.8,43,30.63,-8.27
"289","5199:167","5199:167",1,2004,43,33,30.63,-8.27
"290","5199:167","5199:167",1,2003,33,10,30.63,-8.27
"293","5199:168","5199:168",0,2005,10.8,25,30.64,-8.35
"294","5199:168","5199:168",1,2004,25,32,30.64,-8.35
"295","5199:168","5199:168",1,2003,32,5,30.64,-8.35
"298","5236:169","5236:169",1,2006,44.1,47,30,-13.18
"299","5236:169","5236:169",1,2005,47,25,30,-13.18
"300","5236:169","5236:169",1,2004,25,26,30,-13.18
"301","5236:169","5236:169",1,2003,26,8,30,-13.18
"304","5236:170","5236:170",1,2006,35.5,35.7,29.65,-12.53
"305","5236:170","5236:170",1,2005,35.7,17,29.65,-12.53
"306","5236:170","5236:170",0,2004,17,16,29.65,-12.53
"307","5236:170","5236:170",1,2003,16,3,29.65,-12.53
"309","5209:171","5209:171",1,2007,25.3,33.8,15.56,5.24
"310","5209:171","5209:171",1,2006,33.8,43,15.56,5.24
"311","5209:171","5209:171",1,2005,43,36,15.56,5.24
"312","5209:171","5209:171",1,2004,36,21,15.56,5.24
"313","5209:171","5209:171",1,2003,21,5,15.56,5.24
"316","5209:172","5209:172",1,2005,49,44,15.5,5.34
"317","5209:172","5209:172",1,2004,44,28,15.5,5.34
"318","5209:172","5209:172",1,2003,28,7,15.5,5.34
"320","5209:173","5209:173",1,2007,24.3,25.7,15.73,4.96
"321","5209:173","5209:173",1,2006,25.7,44,15.73,4.96
"322","5209:173","5209:173",1,2005,44,30,15.73,4.96
"323","5209:173","5209:173",1,2004,30,26,15.73,4.96
"324","5209:173","5209:173",1,2003,26,2,15.73,4.96
"326","5209:174","5209:174",1,2007,34.1,38.1,15.51,4.74
"327","5209:174","5209:174",1,2006,38.1,66,15.51,4.74
"328","5209:174","5209:174",1,2005,66,34,15.51,4.74
"329","5209:174","5209:174",1,2004,34,26,15.51,4.74
"330","5209:174","5209:174",1,2003,26,14,15.51,4.74
"332","5209:175","5209:175",1,2007,49.9,45.4,16.25,4.17
"333","5209:175","5209:175",1,2006,45.4,62,16.25,4.17
"334","5209:175","5209:175",1,2005,62,32,16.25,4.17
"335","5209:175","5209:175",1,2004,32,9,16.25,4.17
"336","5209:175","5209:175",0,2003,9,3,16.25,4.17
"338","5209:176","5209:176",1,2007,33.4,38,15.54,6
"339","5209:176","5209:176",1,2006,38,50.5,15.54,6
"340","5209:176","5209:176",1,2005,50.5,30,15.54,6
"341","5209:176","5209:176",1,2004,30,29,15.54,6
"342","5209:176","5209:176",1,2003,29,6,15.54,6
"344","5209:177","5209:177",0,2007,13.9,26.3,15.51,6.02
"345","5209:177","5209:177",1,2006,26.3,42.5,15.51,6.02
"346","5209:177","5209:177",1,2005,42.5,22,15.51,6.02
"347","5209:177","5209:177",1,2004,22,26,15.51,6.02
"348","5209:177","5209:177",0,2003,26,4,15.51,6.02
"350","5209:178","5209:178",1,2007,33.2,23.5,14.85,5.44
"351","5209:178","5209:178",0,2006,23.5,43,14.85,5.44
"352","5209:178","5209:178",1,2005,43,32,14.85,5.44
"353","5209:178","5209:178",1,2004,32,25,14.85,5.44
"354","5209:178","5209:178",1,2003,25,6,14.85,5.44
"357","5209:179","5209:179",0,2003,14,14,14.75,5.19
"360","5209:180","5209:180",1,2003,34,7,14.67,5.28
"363","5209:181","5209:181",1,2005,38,27,14.36,5.23
"364","5209:181","5209:181",1,2004,27,42,14.36,5.23
"365","5209:181","5209:181",1,2003,42,12,14.36,5.23
"368","5209:182","5209:182",0,2003,4,4,14.34,5.33
"370","5148:312","5148:312",1,2004,42,12,107.38,-166.14
"371","5148:312","5148:312",0,2003,12,2,107.38,-166.14
"375","5148:314","5148:314",1,2004,44,44,107.43,-166.86
"376","5148:314","5148:314",1,2003,44,8,107.43,-166.86
"378","5148:315","5148:315",1,2004,48,46,107.33,-166.99
"379","5148:315","5148:315",1,2003,46,18,107.33,-166.99
"381","5148:316","5148:316",1,2004,43,28,107.4,-166.99
"382","5148:316","5148:316",1,2003,28,3,107.4,-166.99
"384","5148:317","5148:317",0,2004,16,16,107.46,-167
"385","5148:317","5148:317",0,2003,16,2,107.46,-167
"387","5148:318","5148:318",1,2004,39,40,107.47,-167.07
"388","5148:318","5148:318",1,2003,40,10,107.47,-167.07
"390","5148:319","5148:319",1,2004,49,47,107.46,-167.27
"391","5148:319","5148:319",1,2003,47,20,107.46,-167.27
"393","5148:320","5148:320",1,2004,49,54,107.35,-167.35
"394","5148:320","5148:320",1,2003,54,11,107.35,-167.35
"396","5147:321","5147:321",1,2004,22,35,108.21,-167.67
"397","5147:321","5147:321",1,2003,35,2,108.21,-167.67
"399","5147:322","5147:322",1,2004,56,25,108.16,-167.76
"400","5147:322","5147:322",1,2003,25,5,108.16,-167.76
"402","5152:323","5152:323",1,2004,44,40,97.98,-170.68
"403","5152:323","5152:323",1,2003,40,21,97.98,-170.68
"407","5155:325","5155:325",1,2004,51,51,80.85,-162.9
"408","5155:325","5155:325",1,2003,51,18,80.85,-162.9
"413","5155:327","5155:327",1,2003,52,15,80.68,-163.22
"415","5156:345","5156:345",1,2004,31,21,76.03,-156.09
"416","5156:345","5156:345",1,2003,21,3,76.03,-156.09
"418","5156:346","5156:346",0,2004,14,8,76.74,-155.99
"419","5156:346","5156:346",0,2003,8,2,76.74,-155.99
"421","5156:347","5156:347",0,2004,14,4,77.17,-155.58
"422","5156:347","5156:347",0,2003,4,1,77.17,-155.58
"424","5156:348","5156:348",1,2004,31,22,77.13,-153.61
"425","5156:348","5156:348",1,2003,22,6,77.13,-153.61
"427","5156:349","5156:349",0,2004,41,25,75.72,-153.51
"428","5156:349","5156:349",1,2003,25,4,75.72,-153.51
"430","5156:350","5156:350",1,2004,29,20,75.5,-155.22
"431","5156:350","5156:350",1,2003,20,3,75.5,-155.22
"433","5156:351","5156:351",1,2004,5,5,76.77,-155.38
"434","5156:351","5156:351",0,2003,5,1,76.77,-155.38
"436","5156:352","5156:352",0,2004,15,6,76.85,-154.43
"437","5156:352","5156:352",0,2003,6,1,76.85,-154.43
"439","5156:353","5156:353",1,2004,33,27,78.18,-154.19
"440","5156:353","5156:353",1,2003,27,4,78.18,-154.19
"442","5156:354","5156:354",1,2004,43,36,78.36,-154.35
"443","5156:354","5156:354",1,2003,36,15,78.36,-154.35
"445","5156:355","5156:355",1,2004,28,7,77.39,-154.09
"446","5156:355","5156:355",0,2003,7,2,77.39,-154.09
"451","5156:357","5156:357",1,2004,33,26,78.66,-155.36
"452","5156:357","5156:357",1,2003,26,5,78.66,-155.36
"454","5156:358","5156:358",1,2004,26,23,78.65,-155.72
"455","5156:358","5156:358",1,2003,23,4,78.65,-155.72
"457","5156:359","5156:359",1,2004,31,20,75.51,-154.29
"458","5156:359","5156:359",0,2003,20,2,75.51,-154.29
"460","5156:360","5156:360",1,2004,33,13,75.99,-153.53
"461","5156:360","5156:360",0,2003,13,2,75.99,-153.53
"463","5156:361","5156:361",1,2004,27,17,76.97,-155.11
"464","5156:361","5156:361",0,2003,17,6,76.97,-155.11
"466","5156:362","5156:362",0,2004,14,11,77.02,-155.09
"467","5156:362","5156:362",0,2003,11,6,77.02,-155.09
"471","5156:364","5156:364",1,2004,26,30,76.87,-154.84
"472","5156:364","5156:364",1,2003,30,6,76.87,-154.84
"474","5156:365","5156:365",1,2004,30,23,77.12,-154.78
"475","5156:365","5156:365",1,2003,23,9,77.12,-154.78
"477","5156:366","5156:366",1,2004,18,10,78.57,-155.96
"478","5156:366","5156:366",0,2003,10,3,78.57,-155.96
"480","5156:367","5156:367",0,2004,6,14,78.54,-156.35
"481","5156:367","5156:367",0,2003,14,2,78.54,-156.35
"484","5152:368","5152:368",0,2003,13,2,87.47,-164.4
"486","5152:369","5152:369",1,2004,44,18,87.87,-164.74
"487","5152:369","5152:369",1,2003,18,4,87.87,-164.74
"489","5152:370","5152:370",1,2004,37,12,87.38,-163.16
"490","5152:370","5152:370",0,2003,12,2,87.38,-163.16
"492","5152:371","5152:371",1,2004,37,32,92.12,-169.22
"493","5152:371","5152:371",1,2003,32,15,92.12,-169.22
"496","5152:372","5152:372",1,2003,27,6,92.2,-169.21
"499","5152:373","5152:373",1,2003,23,7,91.98,-169.01
"501","5152:374","5152:374",1,2004,41,17,91.98,-168.94
"502","5152:374","5152:374",1,2003,17,4,91.98,-168.94
"508","5152:377","5152:377",0,2004,30,21,89.03,-164.07
"509","5152:377","5152:377",0,2003,21,3,89.03,-164.07
"511","5155:378","5155:378",0,2004,41,37,79.85,-164.89
"512","5155:378","5155:378",1,2003,37,5,79.85,-164.89
"515","5202:397","5202:397",1,2004,56,37,39.07,30.89
"516","5202:397","5202:397",1,2003,37,11,39.07,30.89
"519","5202:398","5202:398",1,2004,52,47,39.17,30.37
"520","5202:398","5202:398",1,2003,47,11,39.17,30.37
"524","5203:399","5203:399",1,2005,62,57,41.19,36.7
"525","5203:399","5203:399",1,2004,57,28,41.19,36.7
"526","5203:399","5203:399",1,2003,28,9,41.19,36.7
"530","5134:401","5134:401",1,2004,34,29,94.87,-183.05
"531","5134:401","5134:401",1,2003,29,18,94.87,-183.05
"533","5134:402","5134:402",1,2004,29,28,94.83,-184.51
"534","5134:402","5134:402",1,2003,28,7,94.83,-184.51
"536","5134:403","5134:403",1,2004,33,27,94.94,-184.41
"537","5134:403","5134:403",1,2003,27,8,94.94,-184.41
"539","5134:404","5134:404",1,2004,37,18,94.19,-185.08
"540","5134:404","5134:404",1,2003,18,5,94.19,-185.08
"542","5134:405","5134:405",1,2004,42,32,94.49,-183.77
"543","5134:405","5134:405",1,2003,32,23,94.49,-183.77
"546","5197:501","5197:501",1,2005,47.4,32,38.64,-51.94
"547","5197:501","5197:501",1,2004,32,26,38.64,-51.94
"548","5197:501","5197:501",1,2003,26,4,38.64,-51.94
"551","5197:502","5197:502",1,2005,51.8,39,38.78,-52.7
"552","5197:502","5197:502",1,2004,39,31,38.78,-52.7
"553","5197:502","5197:502",1,2003,31,3,38.78,-52.7
"558","5197:504","5197:504",0,2003,20,3,39.26,-52.72
"562","5197:506","5197:506",0,2003,16,3,39.49,-53.36
"565","5197:507","5197:507",1,2004,35,23,39.21,-53.35
"566","5197:507","5197:507",0,2003,23,4,39.21,-53.35
"569","5197:508","5197:508",0,2004,23,18,39.3,-53.45
"570","5197:508","5197:508",1,2003,18,3,39.3,-53.45
"573","5197:509","5197:509",0,2003,8,1,38.67,-53.24
"577","5197:511","5197:511",1,2004,33,16,38.54,-53.43
"578","5197:511","5197:511",0,2003,16,2,38.54,-53.43
"581","5197:512","5197:512",0,2003,9,1,38.51,-53.55
"585","5197:514","5197:514",1,2005,40.1,37,38.29,-53.17
"586","5197:514","5197:514",1,2004,37,14,38.29,-53.17
"587","5197:514","5197:514",0,2003,14,1,38.29,-53.17
"590","5197:515","5197:515",1,2004,39,31,38.29,-53.17
"591","5197:515","5197:515",1,2003,31,3,38.29,-53.17
"594","5197:516","5197:516",1,2005,32.5,23,38.22,-52.99
"595","5197:516","5197:516",1,2004,23,16,38.22,-52.99
"596","5197:516","5197:516",1,2003,16,2,38.22,-52.99
"599","5197:517","5197:517",1,2005,25.5,26,38.09,-53
"600","5197:517","5197:517",1,2004,26,7,38.09,-53
"601","5197:517","5197:517",0,2003,7,2,38.09,-53
"604","5197:518","5197:518",1,2005,36.2,23,38.2,-53.08
"605","5197:518","5197:518",1,2004,23,5,38.2,-53.08
"606","5197:518","5197:518",0,2003,5,2,38.2,-53.08
"619","5197:519.196","5197:519",1,2005,25.3,11,38,-52.87
"620","5197:519.196","5197:519",0,2004,11,4,38,-52.87
"621","5197:519.196","5197:519",0,2003,4,3,38,-52.87
"624","5197:519.197","5197:519",0,2003,4,1,38,-52.87
"627","5197:520.198","5197:520",0,2005,3,22,38.12,-53.09
"628","5197:520.198","5197:520",1,2004,22,11,38.12,-53.09
"629","5197:520.198","5197:520",0,2003,11,2,38.12,-53.09
"632","5197:520.199","5197:520",0,2003,15,2,38.12,-53.09
"635","5197:521","5197:521",1,2003,15,3,38.47,-52.73
"637","5197:522","5197:522",1,2007,46.7,21.1,37.65,-53.27
"638","5197:522","5197:522",1,2006,21.1,55.4,37.65,-53.27
"639","5197:522","5197:522",1,2005,55.4,39,37.65,-53.27
"640","5197:522","5197:522",1,2004,39,26,37.65,-53.27
"641","5197:522","5197:522",1,2003,26,4,37.65,-53.27
"644","5197:523","5197:523",1,2005,71.2,35,37.98,-53.24
"645","5197:523","5197:523",1,2004,35,16,37.98,-53.24
"646","5197:523","5197:523",0,2003,16,2,37.98,-53.24
"649","5197:524","5197:524",1,2005,37.4,22,37.21,-53.7
"650","5197:524","5197:524",0,2004,22,22,37.21,-53.7
"651","5197:524","5197:524",1,2003,22,3,37.21,-53.7
"654","5197:525","5197:525",1,2004,33,32,36.87,-53.56
"655","5197:525","5197:525",1,2003,32,5,36.87,-53.56
"658","5197:526","5197:526",1,2005,48.4,41,36.46,-53.59
"659","5197:526","5197:526",1,2004,41,29,36.46,-53.59
"660","5197:526","5197:526",1,2003,29,3,36.46,-53.59
"663","5197:527","5197:527",1,2005,38,34,36.75,-53.03
"664","5197:527","5197:527",1,2004,34,35,36.75,-53.03
"665","5197:527","5197:527",1,2003,35,1,36.75,-53.03
"667","5197:528","5197:528",1,2007,23.5,24.7,36.4,-52.78
"668","5197:528","5197:528",1,2006,24.7,32.2,36.4,-52.78
"669","5197:528","5197:528",1,2005,32.2,34,36.4,-52.78
"670","5197:528","5197:528",1,2004,34,29,36.4,-52.78
"671","5197:528","5197:528",1,2003,29,5,36.4,-52.78
"674","5197:529","5197:529",1,2004,45,47,36.99,-52.41
"675","5197:529","5197:529",1,2003,47,11,36.99,-52.41
"678","5197:530","5197:530",1,2004,42,20,36.99,-51.72
"679","5197:530","5197:530",1,2003,20,2,36.99,-51.72
"682","5197:531","5197:531",1,2005,20.7,35,38.1,-51.2
"683","5197:531","5197:531",1,2004,35,20,38.1,-51.2
"684","5197:531","5197:531",1,2003,20,3,38.1,-51.2
"687","5197:532","5197:532",0,2003,17,2,39.03,-52.27
"690","5197:533","5197:533",1,2004,30,31,39.02,-52.16
"691","5197:533","5197:533",1,2003,31,5,39.02,-52.16
"694","5197:534","5197:534",1,2003,17,2,38.92,-52.17
"697","5197:535","5197:535",1,2005,47.2,24,38.98,-52.22
"698","5197:535","5197:535",0,2004,24,8,38.98,-52.22
"699","5197:535","5197:535",0,2003,8,2,38.98,-52.22
"702","5197:536","5197:536",0,2004,25,38,39.31,-51.93
"703","5197:536","5197:536",1,2003,38,7,39.31,-51.93
"706","5197:537","5197:537",1,2003,27,2,39.18,-53.56
"709","5197:538","5197:538",1,2004,30,31,39.2,-53.8
"710","5197:538","5197:538",1,2003,31,4,39.2,-53.8
"713","5197:539","5197:539",1,2004,31,33,39.23,-53.84
"714","5197:539","5197:539",1,2003,33,3,39.23,-53.84
"717","5197:540","5197:540",1,2005,68.1,50,38.8,-54.51
"718","5197:540","5197:540",1,2004,50,43,38.8,-54.51
"719","5197:540","5197:540",1,2003,43,4,38.8,-54.51
"722","5197:541","5197:541",0,2005,36.6,42,38.29,-54.67
"723","5197:541","5197:541",1,2004,42,35,38.29,-54.67
"724","5197:541","5197:541",1,2003,35,8,38.29,-54.67
"727","5197:542","5197:542",1,2005,54.2,15,36.57,-54.62
"728","5197:542","5197:542",0,2004,15,43,36.57,-54.62
"729","5197:542","5197:542",1,2003,43,14,36.57,-54.62
"732","5197:543","5197:543",1,2005,58.5,52,36.74,-54.32
"733","5197:543","5197:543",1,2004,52,41,36.74,-54.32
"734","5197:543","5197:543",1,2003,41,2,36.74,-54.32
"739","5197:544","5197:544",1,2003,40,4,38.44,-54.75
"741","5197:545","5197:545",1,2007,32.6,39.9,36.74,-52.57
"742","5197:545","5197:545",1,2006,39.9,38.8,36.74,-52.57
"743","5197:545","5197:545",1,2005,38.8,37,36.74,-52.57
"744","5197:545","5197:545",1,2004,37,47,36.74,-52.57
"745","5197:545","5197:545",1,2003,47,4,36.74,-52.57
"748","5197:546","5197:546",1,2005,50.7,38,35.98,-50.5
"749","5197:546","5197:546",1,2004,38,28,35.98,-50.5
"750","5197:546","5197:546",1,2003,28,2,35.98,-50.5
"753","5197:547","5197:547",1,2005,25.7,30,34.71,-49.6
"754","5197:547","5197:547",1,2004,30,24,34.71,-49.6
"755","5197:547","5197:547",1,2003,24,2,34.71,-49.6
"758","5197:548","5197:548",1,2005,35.3,32,34.52,-49.61
"759","5197:548","5197:548",1,2004,32,38,34.52,-49.61
"760","5197:548","5197:548",1,2003,38,6,34.52,-49.61
"763","5197:549","5197:549",1,2006,26.5,21.5,34.83,-49.31
"764","5197:549","5197:549",1,2005,21.5,32,34.83,-49.31
"765","5197:549","5197:549",1,2004,32,41,34.83,-49.31
"766","5197:549","5197:549",1,2003,41,5,34.83,-49.31
"769","5197:550","5197:550",1,2005,22.7,37,35.05,-49.38
"770","5197:550","5197:550",1,2004,37,31,35.05,-49.38
"771","5197:550","5197:550",1,2003,31,6,35.05,-49.38
"774","5197:551","5197:551",1,2005,30,30,35.05,-49.11
"775","5197:551","5197:551",1,2004,30,43,35.05,-49.11
"776","5197:551","5197:551",1,2003,43,16,35.05,-49.11
"779","5197:552","5197:552",1,2005,24.1,26,35.13,-49.13
"780","5197:552","5197:552",1,2004,26,42,35.13,-49.13
"781","5197:552","5197:552",1,2003,42,6,35.13,-49.13
"784","5197:553","5197:553",1,2004,33,22,35.22,-49.07
